StartNodeID,EndNodeID,BaseTravelTime,CongestionFactor
0,1,1.0,1.05
0,224,1.0,1.06
1,2,1.0,1.72
1,225,1.0,1.12
2,3,1.0,1.99
2,226,1.0,1.49
3,4,1.0,1.13
3,227,1.0,1.25
4,5,1.0,1.75
4,228,1.0,1.52
5,6,1.0,1.85
5,229,1.0,1.30
6,7,1.0,1.56
6,230,1.0,1.03
7,8,1.0,1.05
7,231,1.0,1.35
8,9,1.0,1.77
8,232,1.0,1.65
9,10,1.0,1.96
9,233,1.0,1.38
10,11,1.0,1.62
10,234,1.0,1.18
11,12,1.0,1.27
11,235,1.0,1.46
12,13,1.0,1.06
12,236,1.0,1.86
13,14,1.0,1.94
13,237,1.0,1.51
14,15,1.0,1.03
14,238,1.0,1.63
15,16,1.0,1.15
15,239,1.0,1.17
16,17,1.0,1.08
16,240,1.0,1.40
17,18,1.0,1.84
17,241,1.0,1.54
18,19,1.0,1.02
18,242,1.0,1.52
19,20,1.0,1.04
19,243,1.0,1.66
20,21,1.0,1.27
20,244,1.0,1.94
21,22,1.0,1.27
21,245,1.0,1.26
22,23,1.0,1.25
22,246,1.0,1.77
23,24,1.0,1.68
23,247,1.0,1.34
24,25,1.0,1.51
24,248,1.0,1.94
25,26,1.0,1.36
25,249,1.0,1.80
26,27,1.0,1.29
26,250,1.0,1.48
27,28,1.0,1.13
27,251,1.0,1.72
28,29,1.0,1.65
28,252,1.0,1.71
29,30,1.0,1.35
29,253,1.0,1.16
30,31,1.0,1.52
30,254,1.0,1.31
31,32,1.0,1.84
31,255,1.0,1.07
32,33,1.0,1.90
32,256,1.0,1.55
33,34,1.0,1.78
33,257,1.0,1.42
34,35,1.0,1.71
34,258,1.0,1.35
35,36,1.0,1.57
35,259,1.0,1.95
36,37,1.0,1.67
36,260,1.0,1.29
37,38,1.0,1.93
37,261,1.0,1.93
38,39,1.0,1.76
38,262,1.0,1.16
39,40,1.0,1.20
39,263,1.0,1.55
40,41,1.0,1.32
40,264,1.0,1.18
41,42,1.0,1.80
41,265,1.0,1.48
42,43,1.0,1.20
42,266,1.0,1.63
43,44,1.0,1.77
43,267,1.0,1.71
44,45,1.0,1.78
44,268,1.0,1.93
45,46,1.0,1.11
45,269,1.0,1.44
46,47,1.0,1.58
46,270,1.0,1.15
47,48,1.0,1.22
47,271,1.0,1.75
48,49,1.0,1.97
48,272,1.0,1.38
49,50,1.0,1.75
49,273,1.0,1.19
50,51,1.0,1.94
50,274,1.0,1.06
51,52,1.0,1.68
51,275,1.0,1.65
52,53,1.0,1.60
52,276,1.0,1.09
53,54,1.0,1.87
53,277,1.0,1.42
54,55,1.0,1.68
54,278,1.0,1.33
55,56,1.0,1.31
55,279,1.0,1.22
56,57,1.0,1.69
56,280,1.0,1.73
57,58,1.0,1.52
57,281,1.0,1.16
58,59,1.0,1.78
58,282,1.0,1.23
59,60,1.0,1.88
59,283,1.0,1.15
60,61,1.0,1.89
60,284,1.0,1.30
61,62,1.0,1.45
61,285,1.0,1.49
62,63,1.0,1.20
62,286,1.0,1.03
63,64,1.0,1.91
63,287,1.0,1.29
64,65,1.0,1.53
64,288,1.0,1.25
65,66,1.0,1.56
65,289,1.0,1.35
66,67,1.0,1.69
66,290,1.0,1.33
67,68,1.0,1.75
67,291,1.0,1.37
68,69,1.0,1.82
68,292,1.0,1.26
69,70,1.0,1.10
69,293,1.0,1.01
70,71,1.0,1.56
70,294,1.0,1.36
71,72,1.0,1.04
71,295,1.0,1.13
72,73,1.0,1.84
72,296,1.0,1.23
73,74,1.0,1.53
73,297,1.0,1.93
74,75,1.0,1.04
74,298,1.0,1.44
75,76,1.0,1.51
75,299,1.0,1.51
76,77,1.0,1.06
76,300,1.0,1.59
77,78,1.0,1.74
77,301,1.0,1.18
78,79,1.0,1.25
78,302,1.0,1.47
79,80,1.0,1.87
79,303,1.0,1.32
80,81,1.0,1.54
80,304,1.0,1.13
81,82,1.0,1.05
81,305,1.0,1.70
82,83,1.0,1.02
82,306,1.0,1.96
83,84,1.0,1.46
83,307,1.0,1.71
84,85,1.0,1.23
84,308,1.0,1.89
85,86,1.0,1.99
85,309,1.0,1.91
86,87,1.0,1.97
86,310,1.0,1.23
87,88,1.0,1.77
87,311,1.0,1.18
88,89,1.0,1.81
88,312,1.0,1.85
89,90,1.0,1.11
89,313,1.0,1.59
90,91,1.0,1.69
90,314,1.0,1.60
91,92,1.0,1.02
91,315,1.0,1.07
92,93,1.0,1.09
92,316,1.0,1.42
93,94,1.0,1.04
93,317,1.0,1.01
94,95,1.0,1.80
94,318,1.0,1.72
95,96,1.0,1.43
95,319,1.0,1.67
96,97,1.0,1.95
96,320,1.0,1.02
97,98,1.0,1.62
97,321,1.0,1.66
98,99,1.0,1.34
98,322,1.0,1.50
99,100,1.0,1.94
99,323,1.0,1.44
100,101,1.0,1.15
100,324,1.0,1.15
101,102,1.0,1.96
101,325,1.0,1.16
102,103,1.0,1.79
102,326,1.0,1.08
103,104,1.0,1.39
103,327,1.0,1.08
104,105,1.0,1.78
104,328,1.0,1.81
105,106,1.0,1.55
105,329,1.0,1.13
106,107,1.0,1.48
106,330,1.0,1.95
107,108,1.0,1.40
107,331,1.0,1.23
108,109,1.0,1.97
108,332,1.0,1.33
109,110,1.0,1.87
109,333,1.0,1.15
110,111,1.0,1.47
110,334,1.0,1.18
111,112,1.0,1.66
111,335,1.0,1.20
112,113,1.0,1.12
112,336,1.0,1.59
113,114,1.0,1.20
113,337,1.0,1.99
114,115,1.0,1.96
114,338,1.0,1.18
115,116,1.0,1.20
115,339,1.0,1.98
116,117,1.0,1.90
116,340,1.0,1.50
117,118,1.0,1.44
117,341,1.0,1.91
118,119,1.0,1.82
118,342,1.0,1.68
119,120,1.0,1.80
119,343,1.0,1.37
120,121,1.0,1.76
120,344,1.0,1.18
121,122,1.0,1.15
121,345,1.0,1.56
122,123,1.0,1.91
122,346,1.0,1.74
123,124,1.0,1.83
123,347,1.0,1.07
124,125,1.0,1.54
124,348,1.0,1.07
125,126,1.0,1.33
125,349,1.0,1.82
126,127,1.0,1.18
126,350,1.0,1.93
127,128,1.0,1.97
127,351,1.0,1.96
128,129,1.0,1.61
128,352,1.0,1.03
129,130,1.0,1.29
129,353,1.0,1.68
130,131,1.0,1.77
130,354,1.0,1.07
131,132,1.0,1.73
131,355,1.0,1.05
132,133,1.0,1.56
132,356,1.0,1.17
133,134,1.0,1.99
133,357,1.0,1.85
134,135,1.0,1.59
134,358,1.0,1.18
135,136,1.0,1.59
135,359,1.0,1.71
136,137,1.0,1.33
136,360,1.0,1.86
137,138,1.0,1.48
137,361,1.0,1.89
138,139,1.0,1.06
138,362,1.0,1.49
139,140,1.0,1.35
139,363,1.0,1.19
140,141,1.0,1.37
